               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.062217,            0.017016,            0.030999,             0.19725,                 0.5,             0.21771,            0.083724,            0.047782,           0.0091746,            0.018624,            0.010856,           0.0078562,           0.0078562
                  49,            0.060667,            0.014206,            0.031282,              0.3446,             0.89484,             0.44775,             0.16053,            0.044193,           0.0087022,            0.018307,            0.008979,            0.007979,            0.007979
                  50,            0.059273,            0.015871,            0.032067,              0.3446,             0.89484,             0.44775,             0.16053,            0.044193,           0.0087022,            0.018307,             0.00802,             0.00802,             0.00802
                  51,            0.063175,            0.014768,            0.030737,             0.27946,                   1,             0.46295,             0.14971,              0.0439,           0.0087589,            0.017958,             0.00802,             0.00802,             0.00802
                  52,            0.071527,            0.014221,             0.03085,             0.27946,                   1,             0.46295,             0.14971,              0.0439,           0.0087589,            0.017958,           0.0079804,           0.0079804,           0.0079804
                  53,            0.068893,            0.014251,            0.033402,             0.57846,                   1,             0.74583,               0.409,            0.033913,           0.0079751,            0.017263,           0.0079408,           0.0079408,           0.0079408
                  54,            0.054445,            0.017772,            0.030978,             0.57846,                   1,             0.74583,               0.409,            0.033913,           0.0079751,            0.017263,           0.0079012,           0.0079012,           0.0079012
                  55,            0.053503,            0.017623,            0.031678,             0.68407,                   1,             0.82917,             0.29415,            0.038472,           0.0080122,            0.016248,           0.0078616,           0.0078616,           0.0078616
                  56,            0.068713,            0.015408,            0.029725,             0.68407,                   1,             0.82917,             0.29415,            0.038472,           0.0080122,            0.016248,            0.007822,            0.007822,            0.007822
                  57,            0.068101,            0.014122,            0.029409,             0.58783,                   1,             0.82917,             0.41628,            0.041804,           0.0075493,            0.015897,           0.0077824,           0.0077824,           0.0077824
                  58,            0.052788,             0.01731,            0.030145,             0.58783,                   1,             0.82917,             0.41628,            0.041804,           0.0075493,            0.015897,           0.0077428,           0.0077428,           0.0077428
                  59,             0.05164,             0.01646,            0.029455,              0.5386,                   1,             0.82917,             0.31768,            0.033214,           0.0073653,            0.015454,           0.0077032,           0.0077032,           0.0077032
                  60,            0.052822,            0.014769,            0.028834,              0.5386,                   1,             0.82917,             0.31768,            0.033214,           0.0073653,            0.015454,           0.0076636,           0.0076636,           0.0076636
                  61,            0.055595,            0.016417,            0.030859,             0.54589,                   1,             0.82917,             0.48439,            0.042625,           0.0068445,            0.015263,            0.007624,            0.007624,            0.007624
                  62,             0.06196,            0.016055,            0.029902,             0.54589,                   1,             0.82917,             0.48439,            0.042625,           0.0068445,            0.015263,           0.0075844,           0.0075844,           0.0075844
                  63,            0.062074,            0.014311,            0.029098,             0.69594,                   1,             0.82917,               0.262,            0.042919,           0.0063834,            0.014942,           0.0075448,           0.0075448,           0.0075448
                  64,            0.047118,            0.015729,            0.028844,             0.69594,                   1,             0.82917,               0.262,            0.042919,           0.0063834,            0.014942,           0.0075052,           0.0075052,           0.0075052
